Evento,Tipo de Evento,Pais,Boletos,Boletos,Boletos,Boletos,Boletos,Boletos,Boletos,Boletos,Boletos,Boletos,,Boletos,Boletos
,,,3 Meses,6 Meses,12 Meses,3 Meses,6 Meses,12 Meses,3 Meses,6 Meses,12 Meses,3 Meses,6 Meses,12 Meses,BLACK
,,,GRAL MX,GRAL MX,GRAL MX,VIP MX,VIP MX,VIP MX,GRAL US,GRAL US,GRAL US,VIP US,VIP US,VIP US,
BLACK ACCESS,BLACK ACCESS,,,,,,,,,,,,,,1
BOOTCAMP,BOOTCAMP,,Editable,Editable,Editable,Editable,Editable,Editable,Editable,Editable,Editable,Editable,,Editable,Editable
Renovacion,Renovacion,,2,2,2,,,,,,,,,,
MÁS+,MÁS+,,,,,3,3,3,,,,,,,
WMDL-MX,WEBINAR,MX,1,1,2,,,,,,,,,,
WJS-MX,WEBINAR,MX,1,1,2,,,,,,,,,,
USA-WMDL,WEBINAR,US,,,,1,1,2,1,1,2,,,,
USA-WJS,WEBINAR,US,,,,1,1,2,1,1,2,,,,
EPUS - DALLAS,PRES,US,,,,2,2,3,2,2,3,,,,
EPUS - AUSTIN,PRES,US,,,,2,2,3,2,2,3,,,,
EPUS - SAN ANTONIO,PRES,US,,,,2,2,3,2,2,3,,,,
EPUS - HOUSTON,PRES,US,,,,2,2,3,2,2,3,,,,
EPUS - TAMPA,PRES,US,,,,2,2,3,2,2,3,,,,
EPUS - ORLANDO,PRES,US,,,,2,2,3,2,2,3,,,,
EPUS - MIAMI,PRES,US,,,,2,2,3,2,2,3,,,,
EPUS - NEWARK,PRES,US,,,,2,2,3,2,2,3,,,,
EPUS - CHICAGO,PRES,US,,,,2,2,3,2,2,3,,,,
EPUS - BOSTON,PRES,US,,,,2,2,3,2,2,3,,,,
EPUS - PHILADELPHIA,PRES,US,,,,2,2,3,2,2,3,,,,
EPUS - SAN JOSE,PRES,US,,,,2,2,3,2,2,3,,,,
EPUS - L.A.,PRES,US,,,,2,2,3,2,2,3,,,,
EPUS - SAN DIEGO,PRES,US,,,,2,2,3,2,2,3,,,,
EPUS - PHOENIX,PRES,US,,,,2,2,3,2,2,3,,,,
EPUS - ATLANTA,PRES,US,,,,2,2,3,2,2,3,,,,
EPUS - LAS VEGAS,PRES,US,,,,2,2,3,2,2,3,,,,
EPUS - SACRAMENTO,PRES,US,,,,2,2,3,2,2,3,,,,
EPUS - SAN FRANCISCO,PRES,US,,,,2,2,3,2,2,3,,,,
EPUS - WASHINGTON,PRES,US,,,,2,2,3,2,2,3,,,,
EPMX - GDL,PRES,MX,2,2,3,,,,,,,,,,
EPMX - CDMX,PRES,MX,2,2,3,,,,,,,,,,
EPMX - QRO,PRES,MX,2,2,3,,,,,,,,,,
EPMX - MTY,PRES,MX,2,2,3,,,,,,,,,,
EPMX - LEON,PRES,MX,2,2,3,,,,,,,,,,
EPMX - PUEBLA,PRES,MX,2,2,3,,,,,,,,,,
EPMX - AGS,PRES,MX,2,2,3,,,,,,,,,,
EPMX - TOLUCA,PRES,MX,2,2,3,,,,,,,,,,
EPMX - MORELIA,PRES,MX,2,2,3,,,,,,,,,,
Equipo Sinergéticos,,,,,,,,,,,,,,,
BGI,,,,,,,,,,,,,,,1
COL-WJS,WEBINAR,LATAM,,,,1,1,2,,,,,,,
PERU-WJS,WEBINAR,LATAM,,,,1,1,2,,,,,,,
EXTERNO,,,,,,,,,,,,,,,
SYNERGY,,,,,,,,,,,,,,,
REVOCADO,,,,,,,,,,,,,,,
SIN EVENTO-MX,,MX,1,1,2,,,,,,,,,,
SIN EVENTO-USA,,US,,,,1,1,2,1,1,2,,,,
COMITE,,,,,,,,,,,,,,,
PLAN CORP. WEBINAR,,,,,,,,,,,,,,,
EPUS - DENVER,PRES,US,,,,2,2,3,2,2,3,,,,
BUSSINES GROWTH,,,,,,,,,,,,,,,
EPUS - FRESNO,PRES,US,,,,2,2,3,2,2,3,,,,
EPPERU - LIMA,PRES,LATAM,,,,2,2,3,,,,,,,
EPCOL - MEDELLIN,PRES,LATAM,,,,2,2,3,,,,,,,
EPCOL - BOGOTA,PRES,LATAM,,,,2,2,3,,,,,,,
BECA,,,,,,,,,,,,,,,
EPUS - SALT LAKE,PRES,US,,,,2,2,3,2,2,3,,,,
EPUS - ALBUQUERQUE,PRES,US,,,,2,2,3,2,2,3,,,,
EPUS - SEATTLE,PRES,US,,,,2,2,3,2,2,3,,,,
LATAM SUR-JS,WEBINAR,LATAM,,,,1,1,2,,,,,,,
LATAM CENTRO-JS,WEBINAR,LATAM,,,,1,1,2,,,,,,,
EPUS - PORTLAND,PRES,US,,,,2,2,3,2,2,3,,,,
EPUS - JACKSONVILLE,PRES,US,,,,2,2,3,2,2,3,,,,
EPUS - WEST PALM,PRES,US,,,,2,2,3,2,2,3,,,,
EPUS - BALTIMORE,PRES,US,,,,2,2,3,2,2,3,,,,
MÁS+ USA,MÁS+ USA,US,,,,,,2,,,,,,2,
EPMX - CHIHUAHUA,PRES,MX,2,2,3,,,,,,,,,,
WJS- EUR,WEBINAR,,,,,,,,,,,,,,
EPMX - SLP,PRES,MX,2,2,3,,,,,,,,,,
EPMX - VTA,PRES,MX,2,2,3,,,,,,,,,,
EPMX - PACH,PRES,MX,2,2,3,,,,,,,,,,
BLACK 2024,BLACK 2024,,,,,,,,,,,,,,
MBA 2025,MBA 2025,,,,,1,1,1,,,,,,,
EPMX - HMO,PRES,MX,2,2,3,,,,,,,,,,
